,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
平成10年,上半期,1998C.Y.,1st half-year,"74,073","44,725","76,096","241,597","165,501","-31,371","35,173","-5,825","-7,657","91,807","14,938","53,621","4,873","37,847","-19,472","25,390"
,下半期,,2nd half-year,"75,909","50,574","84,686","241,301","156,616","-34,112","30,973","-5,638","-11,656","44,419","7,203","4,368","-5,908","29,271","9,486","-19,833"
平成11年,上半期,1999C.Y.,1st half-year,"63,759","39,844","69,431","219,318","149,887","-29,586","32,660","-8,745","-12,405","67,724","3,552","4,402","4,944","13,399","41,427","16,369"
,下半期,,2nd half-year,"65,974","38,806","71,939","233,228","161,289","-33,134","32,293","-5,124","-6,683","63,106","7,052","25,620","-1,639","-14,463","46,535","3,815"
平成12年,上半期,2000C.Y.,1st half-year,"74,934","40,991","66,055","238,234","172,179","-25,064","39,420","-5,477","-5,880","94,986","15,512","18,583","1,526","20,317","39,048","25,931"
,下半期,,2nd half-year,"65,682","33,307","60,928","251,401","190,473","-27,620","37,493","-5,119","-4,067","53,771","21,389","19,887","3,563","-4,629","13,561","-7,844"
平成13年,上半期,2001C.Y.,1st half-year,"53,418","14,669","43,636","235,412","191,776","-28,967","43,621","-4,872","-2,095","67,243","21,001","-13,789","6,646","45,513","7,872","15,919"
,下半期,,2nd half-year,"51,106","17,451","44,833","224,955","180,122","-27,382","38,388","-4,733","-1,367","38,386","16,000","70,080","-8,499","-80,688","41,492","-11,352"
平成14年,上半期,2002C.Y.,1st half-year,"74,992","33,910","59,769","237,945","178,177","-25,858","42,047",-965,"-2,780","80,964","11,938","49,273","3,916","-27,956","43,792","8,752"
,下半期,,2nd half-year,"61,844","30,780","61,443","251,083","189,641","-30,663","36,058","-4,993","-1,436","53,004","12,393","82,213","-6,546","-49,233","14,177","-7,404"
平成15年,上半期,2003C.Y.,1st half-year,"74,030","35,932","54,337","247,973","193,636","-18,405","42,699","-4,601","-3,403","55,668","11,006","116,973","-2,860","-148,119","78,669","-14,959"
,下半期,,2nd half-year,"87,224","47,621","70,295","265,319","195,024","-22,674","43,699","-4,096","-1,269","81,192","18,638","-2,242","-3,214","-68,608","136,619","-4,763"
平成16年,上半期,2004C.Y.,1st half-year,"101,412","53,702","73,869","279,471","205,602","-20,167","51,857","-4,147","-2,584","88,546","14,013","-15,671","1,833","-73,486","161,858","-10,282"
,下半期,,2nd half-year,"95,529","48,259","70,366","297,565","227,198","-22,107","51,631","-4,362","-2,550","72,382","21,776","-7,732","-4,423","51,945","10,816","-20,597"
平成17年,上半期,2005C.Y.,1st half-year,"90,869","39,429","59,126","295,508","236,382","-19,697","57,453","-6,014","-1,932","83,517","17,454","-4,137","-4,372","62,906","11,665","-5,420"
,下半期,,2nd half-year,"96,408","37,501","58,586","334,586","276,000","-21,085","61,050","-2,143","-3,558","79,928","34,249","14,837","12,395","5,550","12,897","-12,923"
平成18年,上半期,2006C.Y.,1st half-year,"96,709","32,107","48,501","343,778","295,277","-16,394","72,071","-7,470","-4,349","82,927","37,280","-116,277","-1,567","145,331","18,160","-9,433"
,下半期,,2nd half-year,"106,598","41,353","62,199","376,490","314,290","-20,847","70,205","-4,960","-1,184","77,567","32,911","-31,684","-1,268","58,572","19,036","-27,847"
平成19年,上半期,2007C.Y.,1st half-year,"126,993","47,451","67,487","385,454","317,967","-20,036","87,314","-7,773","-2,718","138,246","30,813","-18,906",114,"104,795","21,430","13,972"
,下半期,,2nd half-year,"122,497","50,801","74,385","414,782","340,396","-23,584","77,504","-5,808","-2,013","125,529","29,390","-63,609","-3,363","141,567","21,544","5,044"
平成20年,上半期,2008C.Y.,1st half-year,"97,743","26,386","46,221","402,168","355,948","-19,835","78,744","-7,387","-2,371","113,362","24,345","85,234","-5,215","-7,313","16,311","17,990"
,下半期,,2nd half-year,"51,043","-7,486","11,810","373,943","362,133","-19,296","64,658","-6,129","-3,212","73,140","64,897","196,653","-19,347","-184,753","15,690","25,309"
平成21年,上半期,2009C.Y.,1st half-year,"54,939","-3,586","12,608","225,628","213,020","-16,194","65,933","-7,408","-1,716","78,384","22,952","162,844","-1,002","-110,520","4,109","25,160"
,下半期,,2nd half-year,"80,986","24,834","41,268","285,588","244,320","-16,433","60,379","-4,227","-2,937","77,908","34,342","36,641","-8,485","-5,746","21,156",-141
平成22年,上半期,2010C.Y.,1st half-year,"98,136","34,794","48,355","316,365","268,011","-13,561","69,454","-6,112","-1,904","109,267","24,782","49,050","-3,247","31,339","7,344","13,036"
,下半期,,2nd half-year,"95,692","33,778","46,805","327,549","280,744","-13,027","66,719","-4,805","-2,437","107,831","37,728","77,964","-7,015","-31,428","30,581","14,576"
平成23年,上半期,2011C.Y.,1st half-year,"61,275","-9,434","1,668","308,481","306,813","-11,102","77,451","-6,743","-1,720","69,994","33,454","-90,899","-4,271","114,635","17,075","10,439"
,下半期,,2nd half-year,"42,738","-21,667","-4,970","321,172","326,142","-16,697","68,758","-4,353","2,002","56,300","59,647","-44,346","-9,199","-70,624","120,822","11,559"
平成24年,上半期,2012C.Y.,1st half-year,"32,397","-32,555","-17,291","317,782","335,073","-15,263","71,815","-6,863",825,"35,028","49,552","13,353","4,406","-10,949","-21,334","1,806"
,下半期,,2nd half-year,"15,243","-48,274","-25,428","301,786","327,214","-22,846","68,100","-4,582","-1,629","6,897","44,039","11,082","1,497","-40,540","-9,181","-6,717"
平成25年,上半期,2013C.Y.,1st half-year,"37,272","-48,631","-34,270","330,903","365,173","-14,362","91,019","-5,115","-5,779","-14,826","56,055","-253,916","47,790","123,663","11,582","-46,319"
,下半期,,2nd half-year,"7,294","-73,889","-53,465","347,386","400,851","-20,425","85,959","-4,776","-1,657","10,739","86,405","-11,736","7,727","-98,578","26,922","5,102"
平成26年,上半期,2014C.Y.,1st half-year,"3,848","-77,213","-62,523","356,920","419,443","-14,690","92,466","-11,405","-1,095","8,723","61,815","-10,408","8,726","-55,949","4,540","5,969"
,下半期,,2nd half-year,"35,367","-57,775","-42,130","383,827","425,956","-15,646","101,682","-8,540",-994,"54,059","64,062","-37,922","28,918","-5,357","4,358","19,687"
平成27年,上半期,2015C.Y.,1st half-year,"82,228","-14,961","-4,725","379,108","383,833","-10,237","107,640","-10,451","-1,590","117,066","76,511","66,895","22,023","-51,150","2,786","36,429"
,下半期,,2nd half-year,"82,966","-13,208","-4,138","373,633","377,771","-9,070","105,392","-9,218","-1,124","101,697","84,808","93,399",-584,"-79,389","3,464","19,855"
平成28年,上半期,2016C.Y.,1st half-year,"109,861","20,636","22,734","338,926","316,192","-2,098","100,679","-11,454","-5,581","163,642","54,427","248,193","-24,054","-114,231",-693,"59,362"
,下半期,,2nd half-year,"104,048","23,251","32,442","352,001","319,559","-9,190","90,799","-10,002","-1,852","122,417","94,160","48,302","7,473","-22,431","-5,087","20,221"
平成29年,上半期,2017C.Y.,1st half-year,"111,751","17,570","20,308","373,487","353,179","-2,739","104,479","-10,298","-2,023","104,875","100,891","-53,780","10,023","30,831","16,910","-4,853"
,下半期,,2nd half-year,"116,029","24,637","28,805","399,048","370,243","-4,168","102,364","-10,973",-777,"83,238","73,227","-2,732","24,500","-21,364","9,608","-32,013"
平成30年,上半期,2018C.Y.,1st half-year,"110,207","13,558","17,762","400,244","382,482","-4,204","107,555","-10,906","-1,578","128,418","70,244","69,552","-1,824","-25,935","16,381","19,789"
,下半期,,2nd half-year,"84,840","-12,505","-6,497","412,019","418,516","-6,008","106,471","-9,125",-527,"72,944","78,849","30,976","3,063","-50,192","10,248","-11,370"
令和元(平成31)年,上半期,2019C.Y.,1st half-year,"102,621","-3,175",325,"377,698","377,373","-3,500","111,407","-5,611","-1,415","151,352","147,786","50,487","-3,479","-68,358","24,916","50,146"
,下半期,,2nd half-year,"89,892","-6,143","1,178","380,055","378,877","-7,321","104,124","-8,089","-2,716","97,272","90,805","43,179","7,179","-47,015","3,124","10,096"
令和2年,上半期,2020C.Y.,1st half-year,"61,868","-31,014","-11,738","319,473","331,210","-19,276","101,399","-8,518","-1,157","63,147","54,534","180,222","-3,401","-183,856","15,648","2,437"
,下半期,,2nd half-year,"98,049","22,241","39,517","353,157","313,640","-17,276","92,988","-17,180",-915,"78,104","39,363","-136,306","11,400","167,315","-3,668","-19,030"
令和3年,上半期,2021C.Y.,1st half-year,"117,794","2,207","23,100","393,051","369,950","-20,893","127,459","-11,872","-1,308","80,734","91,838","-66,558","19,163","24,960","11,330","-35,752"
,下半期,,2nd half-year,"96,873","-27,041","-5,477","430,475","435,952","-21,564","135,633","-11,719","-2,924","86,946","99,893","-152,617","2,522","79,579","57,569","-7,003"
令和4年,上半期,2022C.Y.,1st half-year,"71,914","-81,444","-55,603","464,842","520,445","-25,841","165,648","-12,289",-171,"51,367","74,515","-73,165","30,500","16,932","2,584","-20,376"
,下半期,,2nd half-year,"42,512","-129,221","-99,504","523,740","623,243","-29,717","184,769","-13,037",-974,"12,825","93,652","-118,828","20,350","90,807","-73,156","-28,713"
令和5年,上半期,2023C.Y.,1st half-year,"82,489","-74,603","-53,260","474,998","528,258","-21,343","179,051","-21,959","-1,991","123,792","110,021","59,099","14,140","-72,367","12,899","43,294"
,下半期,,2nd half-year,"139,753","-24,919","-12,856","529,917","542,772","-12,063","184,098","-19,427","-1,914","119,014","137,105","215,543","50,829","-314,008","29,544","-18,824"
令和6年,上半期,2024C.Y.,1st half-year,"133,863","-44,684","-24,738","506,933","531,671","-19,946","201,099","-22,552","-1,208","104,599","141,483","-4,951","36,557","14,477","-82,966","-28,055"
,下半期,,2nd half-year,"159,857","-19,683","-11,864","544,041","555,906","-7,819","202,953","-23,413",-997,"152,465","147,662","142,848","10,256","-128,514","-19,786","-6,394"
